Original No.,Admission_Channel,Secondary_School,Exam,Math_Background,MATH1510,Level
1037,1,1,4,5.83,9,B
1038,1,2,4,5.83,4,B-
1039,1,2,4,4.61,6,C
1040,1,2,4,5.11,9,B
1042,1,1,4,5.11,7,A
1043,1,1,4,5.83,9,A
1044,1,2,4,4.61,7,B+
1046,1,6,4,5.11,9,B+
1048,1,2,4,5.11,1,D
1049,1,2,4,5.11,1,B-
1051,1,2,4,5.83,9,A
1052,1,1,4,4.61,6,A
1057,1,1,4,4.61,1,B
1062,1,3,4,4.61,6,A
1064,1,5,4,5.83,1,F
1065,1,2,4,4.61,1,C
1068,1,2,4,5.11,6,C
1071,1,3,4,5.11,7,A
1073,1,6,4,4.61,5,B
1074,1,1,4,4.61,3,D
1075,1,1,4,4.61,1,C
1078,1,1,4,5.11,5,B+
1079,1,10,4,5.11,4,A
1080,1,2,4,5.11,4,B+
1081,1,2,4,5.11,2,B
1082,1,3,4,5.11,10,B+
1083,1,1,4,4.61,1,B-
1086,1,5,4,5.11,4,B-
1088,1,3,4,4.61,4,B-
1090,1,2,4,5.83,6,A
10,7,10,6,6.44,10,A
120,7,10,6,6.19,10,A
131,7,10,6,5.87,10,A
132,7,10,6,5.87,10,A
201,7,10,6,6.19,10,A
207,7,10,6,5.87,9,B-
212,7,10,6,6.19,10,A
214,7,10,6,5.87,10,B
216,7,10,6,6.19,10,B-
226,7,10,6,6.19,10,B+
227,7,10,6,6.19,9,B+
234,7,10,6,6.19,10,A
260,7,10,6,5.87,10,B
261,7,10,6,5.87,10,B
265,7,10,6,5.87,10,B-
269,7,10,6,5.87,10,A
278,7,10,6,5.87,10,B+
281,7,10,6,6.19,9,B+
287,7,10,6,6.44,10,A
303,7,10,6,5.87,9,B+
304,7,10,6,5.87,9,B+
305,7,10,6,5.87,10,A
306,7,10,6,6.44,9,A
307,7,10,6,6.19,10,B-
325,7,10,6,6.44,9,B-
327,7,10,6,5.87,10,A
329,7,10,6,5.87,10,B-
330,7,10,6,5.87,8,A
331,7,10,6,6.44,10,B+
351,7,10,6,5.87,9,C
355,7,10,6,5.87,9,A
357,7,10,6,5.87,10,A
365,7,10,6,6.44,9,B+
366,7,10,6,6.19,9,A
367,7,10,6,5.87,10,A
368,7,10,6,6.44,10,A
370,7,10,6,6.44,9,B+
372,7,10,6,5.87,9,A
376,7,10,6,5.87,8,B+
377,7,10,6,6.44,9,A
410,7,10,6,5.87,8,B
412,7,10,6,6,3,B+
417,7,10,6,6.19,9,A
451,7,10,6,6.19,10,A
454,7,10,6,6.19,8,A
459,7,10,6,6.19,9,A
461,7,10,6,5.87,7,A
462,7,10,6,6.19,10,A
473,7,10,6,5.87,6,C
475,7,10,6,6.19,10,A
551,7,10,6,6.19,8,B+
553,7,10,6,5.87,10,A
561,7,10,6,6.19,7,A
562,7,10,6,5.87,7,A
563,7,10,6,6.19,8,A
567,7,10,6,6.19,7,A
586,7,10,6,6.19,7,A
588,7,10,6,5.87,7,B-
610,7,10,6,6.19,9,B-
623,7,10,6,5.87,7,B+
624,7,10,6,6.19,9,A
625,7,10,6,6.19,6,A
631,7,10,6,5.87,9,A
674,7,10,6,6.19,5,B+
675,7,10,6,5.87,8,B
676,7,10,6,6.19,6,B-
714,7,10,6,6.19,8,A
715,7,10,6,5.87,7,B+
719,7,10,6,6.19,2,A
720,7,10,6,6.44,10,B+
725,7,10,6,6.19,8,A
729,7,10,6,5.87,9,A
740,7,10,6,6.19,7,A
741,7,10,6,5.87,4,A
742,7,10,6,5.87,10,A
743,7,10,6,5.87,10,A
744,7,10,6,5.87,10,B
747,4,10,6,6.19,6,B
749,4,10,6,6.19,8,A
750,3,10,6,6.19,5,C
780,3,10,6,5.87,8,A
782,3,10,6,6.19,9,A
784,3,10,6,6.19,9,A
785,4,10,6,6.19,7,C
787,3,10,6,6.19,9,B+
788,3,10,6,6.19,10,A
828,3,10,6,5.87,10,A
830,3,10,6,6,8,A
831,4,10,6,6.44,8,A
833,4,10,6,5.87,8,A
836,3,10,6,6.19,7,B
837,3,10,6,6.19,6,A
841,3,10,6,6.19,9,A
851,3,10,6,5.87,8,A
854,3,10,6,5.87,7,B+
855,3,10,6,6.44,7,A
857,3,10,6,5.87,7,B
867,3,10,6,5.87,9,B+
923,3,10,6,6.19,8,A
926,3,10,6,6.44,6,B
927,3,10,6,6,5,B
929,3,10,6,6.19,9,B+
936,3,10,6,5.87,6,B-
937,3,10,6,6.19,7,B
939,3,10,6,5.87,9,B+
941,4,10,6,6.44,8,A
950,3,10,6,5.87,9,B
953,3,10,6,6.19,9,A
955,3,10,6,5.87,10,B
973,4,10,6,6.19,10,B
976,3,10,6,6.19,6,C
983,3,10,6,6.19,8,A
993,3,10,6,6.19,10,A
997,3,10,6,6.19,6,C
1024,4,10,6,5.87,7,A
1026,3,10,6,5.87,5,B
1027,3,10,6,6.19,7,B+
1028,4,10,6,5.87,10,A
1031,3,10,6,6.19,9,A
1055,4,10,6,5.87,6,F
1056,3,10,6,6.19,9,A
1059,3,10,6,6.44,9,A
1060,4,10,6,5.87,10,A
1061,3,10,6,6.19,8,A
1067,3,10,6,6.19,8,A
1072,4,10,6,6.19,7,A
1085,3,10,6,6,9,A
1087,3,10,6,6,6,B
1089,3,10,6,5.87,8,A
1092,3,10,6,6.19,7,B+
1093,4,10,6,6.44,8,A
1094,3,10,6,6.19,10,A
1095,3,10,6,6.19,5,B-
